epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1726.08,0.92207,0.83933,1.24095,0.81041,1,0.995,0.22902,2.74885,2.19549,3.68504,0.0004754,0.0004754,0.0004754
79,1747.76,0.89245,0.82016,1.34896,0.92937,1,0.995,0.39908,2.39934,1.64034,3.46048,0.0004556,0.0004556,0.0004556
80,1769.58,1.10364,1.17838,1.40443,0.95456,1,0.995,0.44759,2.22233,1.36698,3.42586,0.0004358,0.0004358,0.0004358
81,1791.27,0.88277,0.87957,1.25481,0.95554,1,0.995,0.39769,2.19826,1.38608,3.41979,0.000416,0.000416,0.000416
82,1813.2,0.92721,0.86909,1.27559,0.96339,1,0.995,0.4476,2.07343,1.18502,3.36122,0.0003962,0.0003962,0.0003962
83,1834.93,1.02656,1.05823,1.3544,0.96814,1,0.995,0.4975,2.06276,1.0742,3.4423,0.0003764,0.0003764,0.0003764
84,1856.98,0.86842,0.81514,1.25319,0.97629,1,0.995,0.52237,2.03632,0.988,3.4666,0.0003566,0.0003566,0.0003566
85,1878.9,0.88222,0.82081,1.26916,0.97917,1,0.995,0.52237,2.02453,0.93206,3.43011,0.0003368,0.0003368,0.0003368
86,1900.55,1.2525,1.03345,1.6751,0.98183,1,0.995,0.52238,1.95475,0.85773,3.31398,0.000317,0.000317,0.000317
87,1922.39,0.77479,0.74297,1.19696,0.9822,1,0.995,0.52237,1.91498,0.82951,3.23511,0.0002972,0.0002972,0.0002972
88,1943.96,0.85837,0.89839,1.19666,0.98363,1,0.995,0.54724,1.85027,0.82941,3.08418,0.0002774,0.0002774,0.0002774
89,1965.77,0.87812,0.80312,1.2036,0.98266,1,0.995,0.54723,1.8718,0.86382,3.12838,0.0002576,0.0002576,0.0002576
90,1987.59,0.80508,0.72245,1.20067,0.97926,1,0.995,0.52236,1.99857,1.02055,3.33689,0.0002378,0.0002378,0.0002378
91,2008.95,0.95032,0.85085,1.40888,0.97776,1,0.995,0.4975,2.06618,1.05178,3.38361,0.000218,0.000218,0.000218
92,2030.16,0.69108,0.78526,1.14399,0.97781,1,0.995,0.52234,2.07397,1.01924,3.41844,0.0001982,0.0001982,0.0001982
93,2051.24,0.78789,0.74022,1.18477,0.97873,1,0.995,0.52233,2.06511,1.03277,3.39765,0.0001784,0.0001784,0.0001784
94,2072.79,0.77642,0.70458,1.19331,0.97933,1,0.995,0.52232,1.99686,1.03893,3.26914,0.0001586,0.0001586,0.0001586
95,2094.14,0.81721,0.78376,1.35374,0.97911,1,0.995,0.52232,1.98248,1.03516,3.25185,0.0001388,0.0001388,0.0001388
96,2115.15,0.79137,0.82573,1.33323,0.978,1,0.995,0.44763,1.97036,1.03698,3.18286,0.000119,0.000119,0.000119
97,2136.25,0.60282,0.59443,1.04593,0.97658,1,0.995,0.44763,1.97004,1.05448,3.16193,9.92e-05,9.92e-05,9.92e-05
98,2157.54,0.76991,0.78165,1.17821,0.97112,1,0.995,0.44763,1.96899,1.12434,3.14207,7.94e-05,7.94e-05,7.94e-05
99,2178.91,0.77091,0.65912,1.10193,0.97017,1,0.995,0.44763,1.98348,1.15038,3.15813,5.96e-05,5.96e-05,5.96e-05
100,2200.18,0.91351,0.79367,1.31627,0.96991,1,0.995,0.44763,2.02253,1.19849,3.19675,3.98e-05,3.98e-05,3.98e-05
